,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
48,vaini,0,IN,1525180850,37,15.34,74.49,92.53,7.63
49,hare bay,90,CA,1525177140,100,48.86,-53.99,41.0,5.82
50,nome,1,US,1525178100,88,30.04,-94.42,69.8,6.93
51,angoche,64,MZ,1525180851,100,-16.23,39.91,81.91,10.42
52,sobolevo,12,RU,1525180851,57,54.43,31.9,74.89,18.48
53,poum,20,MK,1525179600,52,41.28,20.71,69.8,4.7
54,yellowknife,40,CA,1525176000,73,62.45,-114.38,21.2,4.7
55,chokurdakh,0,RU,1525180852,72,70.62,147.9,14.77,11.21
56,yeppoon,32,AU,1525177800,73,-23.13,150.74,69.8,5.82
57,georgetown,75,GY,1525179600,88,6.8,-58.16,82.4,11.41
58,castro,92,CL,1525180853,100,-42.48,-73.76,47.8,1.92
59,ust-tsilma,24,RU,1525180853,57,65.44,52.15,37.9,8.75
60,kavaratti,0,IN,1525180853,100,10.57,72.64,85.6,12.1
61,andros town,75,BS,1525179600,69,24.73,-77.79,80.6,16.11
62,dikson,44,RU,1525180854,97,73.51,80.55,11.17,6.73
63,esperance,20,TT,1525176000,78,10.24,-61.45,80.6,12.75
64,sambava,76,MG,1525180854,100,-14.27,50.17,79.66,21.05
65,hermanus,48,ZA,1525180854,22,-34.42,19.24,80.92,2.82
66,palmer,0,AU,1525179600,36,-34.85,139.16,62.6,9.17
67,muros,40,ES,1525179600,47,42.77,-9.06,57.2,6.93
68,salalah,20,OM,1525175400,70,17.01,54.1,87.8,16.11
69,hambantota,36,LK,1525180855,97,6.12,81.12,86.05,12.44
70,butaritari,32,KI,1525180856,100,3.07,172.79,83.89,10.76
71,tres arroyos,8,AR,1525180856,85,-38.38,-60.28,42.04,4.27
72,morro bay,75,US,1525179360,81,35.37,-120.85,46.4,3.36
73,esmeraldas,0,BR,1525179600,56,-19.76,-44.31,75.2,3.36
74,villa maria,75,CO,1525179600,93,4.5,-74.09,51.8,1.92
75,bredasdorp,48,ZA,1525180856,67,-34.53,20.04,72.28,3.27
76,arraial do cabo,0,BR,1525179600,69,-22.97,-42.02,80.6,5.82
77,avarua,20,CK,1525179600,88,-21.21,-159.78,75.2,5.82
78,port alfred,0,ZA,1525180857,66,-33.59,26.89,78.13,8.86
79,acajutla,8,SV,1525180857,87,13.59,-89.83,72.19,2.71
80,victoria,75,BN,1525177800,83,5.28,115.24,84.2,2.24
81,paranapanema,0,BR,1525180858,82,-23.39,-48.72,71.92,8.3
82,sinnamary,100,GF,1525180858,100,5.38,-52.96,78.13,7.74
83,presque isle,90,US,1525178520,86,46.68,-68.02,41.0,3.36
84,tete,0,MZ,1525180859,45,-16.16,33.59,86.41,8.52
85,kaitangata,0,NZ,1525180859,84,-46.28,169.85,41.23,9.75
86,ushtobe,100,KZ,1525180859,99,45.25,77.98,51.58,15.46
87,san cristobal,75,EC,1525179600,87,-0.39,-78.55,53.6,1.12
88,camacha,40,PT,1525179600,59,33.08,-16.33,64.4,2.24
89,henties bay,0,NA,1525180860,73,-22.12,14.28,77.05,2.82
90,bluff,76,AU,1525180860,63,-23.58,149.07,71.11,11.65
91,kruisfontein,0,ZA,1525180860,57,-34.0,24.73,79.48,6.17
92,geraldton,90,CA,1525177440,93,49.72,-86.95,39.2,13.87
93,carnarvon,0,ZA,1525180860,31,-30.97,22.13,73.72,13.44
94,manzanillo,24,CU,1525180605,100,20.34,-77.12,75.88,13.78
95,meulaboh,92,ID,1525180861,100,4.14,96.13,82.09,3.6
96,barrow,8,AR,1525180861,85,-38.31,-60.23,42.04,4.27
97,manaus,75,BR,1525179600,83,-3.13,-59.98,80.6,2.24
98,ati,0,TD,1525180861,16,13.21,18.34,109.81,5.17
99,deputatskiy,8,RU,1525180861,81,69.3,139.9,23.68,10.42
100,saskylakh,76,RU,1525180862,91,71.97,114.09,37.99,11.77
101,lebu,56,ET,1525180862,100,8.96,38.73,62.47,4.05
102,road town,40,VG,1525179600,65,18.42,-64.62,82.4,11.41
103,mar del plata,8,AR,1525180863,90,-46.43,-67.52,39.34,5.17
104,yasnyy,0,RU,1525180863,51,64.04,44.09,42.58,3.6
105,uige,8,AO,1525180863,55,-7.61,15.06,86.59,3.6
106,aklavik,75,CA,1525176000,69,68.22,-135.01,33.8,5.82
107,beyneu,0,KZ,1525180864,29,45.32,55.19,77.14,6.85
108,caborca,32,MX,1525180864,49,30.58,-111.1,47.98,5.39
109,morant bay,20,JM,1525179600,74,17.88,-76.41,82.4,3.36
110,tulum,75,MX,1525178580,83,20.21,-87.46,78.8,4.7
111,hithadhoo,92,MV,1525180865,100,-0.6,73.08,84.79,16.02
112,mishkino,40,RU,1525177800,57,56.22,46.62,51.8,4.47
113,ahipara,36,NZ,1525180865,97,-35.17,173.16,61.93,14.56
114,gweta,0,BW,1525180865,30,-20.21,25.26,82.9,12.21
115,grenfell,56,AU,1525180866,86,-33.9,148.16,51.31,3.38
116,yerbogachen,12,RU,1525180866,40,61.28,108.01,54.46,10.98
117,narsaq,90,GL,1525180500,100,60.91,-46.05,35.6,16.11
118,vieste,0,IT,1525180866,95,41.88,16.18,66.79,5.95
119,oum hadjer,0,TD,1525180867,18,13.3,19.7,108.91,4.38
120,bandarbeyla,80,SO,1525180867,100,9.49,50.81,81.55,13.0
121,hilo,90,US,1525179720,94,19.71,-155.08,71.6,8.52
122,flinders,24,AU,1525176000,87,-34.58,150.85,53.6,5.82
123,bhandara,20,IN,1525177800,18,21.16,79.65,107.6,2.24
124,bimbo,40,CF,1525176000,47,4.33,18.53,95.0,5.82
125,lompoc,90,US,1525179600,93,34.64,-120.46,50.0,3.36
126,new norfolk,0,AU,1525177800,62,-42.78,147.06,57.2,11.41
127,clyde river,40,CA,1525179180,78,70.47,-68.59,10.4,19.46
128,chillicothe,5,US,1525178820,54,39.33,-82.98,55.4,4.7
129,mbanza-ngungu,12,CD,1525180869,89,-5.25,14.87,84.52,4.16
130,ribeira brava,40,PT,1525179600,59,32.65,-17.07,64.4,5.82
131,ahuimanu,90,US,1525179420,83,21.44,-157.84,69.8,2.82
132,coquimbo,0,CL,1525179600,87,-29.95,-71.34,53.6,3.36
133,camocim,64,BR,1525180869,100,-2.9,-40.84,76.96,6.06
134,grindavik,40,IS,1525179600,55,63.84,-22.43,39.2,23.04
135,birjand,20,IR,1525176000,33,32.86,59.22,75.2,6.93
136,acapulco,40,MX,1525178520,78,16.86,-99.88,78.8,4.7
137,komsomolskiy,80,RU,1525180870,91,67.55,63.78,24.85,16.8
138,eyl,92,SO,1525180871,100,7.98,49.82,80.11,8.75
139,katsuura,75,JP,1525176000,72,33.93,134.5,66.2,4.7
140,qaanaaq,8,GL,1525180871,91,77.48,-69.36,0.37,10.2
141,broome,0,GB,1525179420,44,52.47,1.45,59.0,12.75
142,nadym,24,RU,1525180872,90,65.53,72.51,25.66,11.21
143,kiunga,64,PG,1525180872,90,-6.12,141.3,76.69,2.48
144,faanui,92,PF,1525180872,100,-16.48,-151.75,82.45,14.34
145,mon,48,IN,1525180872,82,26.73,95.03,73.27,4.05
146,petropavlovsk-kamchatskiy,0,RU,1525176000,69,53.05,158.65,35.6,6.71
147,nikolskoye,90,RU,1525177800,87,59.7,30.79,46.4,15.66
148,elk city,75,US,1525178100,88,35.41,-99.4,66.2,18.34
149,smidovich,12,RU,1525180873,28,48.6,133.81,46.45,4.83
150,axim,0,GH,1525180873,96,4.87,-2.24,83.98,11.21
151,lagos,40,NG,1525176000,59,6.46,3.39,93.2,10.29
152,manaure,68,CO,1525180874,95,11.78,-72.45,80.29,21.05
153,libreville,20,GA,1525176000,74,0.39,9.45,86.0,4.7
154,port lincoln,0,AU,1525180874,84,-34.72,135.86,61.75,7.4
155,iqaluit,75,CA,1525176000,60,63.75,-68.52,8.6,13.87
156,kupang,20,ID,1525176000,100,-10.16,123.6,77.0,9.19
157,mahebourg,75,MU,1525176000,74,-20.41,57.7,78.8,11.41
158,soyo,44,AO,1525180875,69,-6.13,12.37,88.93,4.16
159,san lorenzo,0,HN,1525180876,92,13.43,-87.45,80.2,5.17
160,lysyanka,0,UA,1525180876,52,49.25,30.83,76.15,14.12
161,verkhniy fiagdon,0,RU,1525180876,71,42.83,44.31,46.27,0.92
162,grand forks,90,US,1525180500,100,47.91,-97.06,35.6,16.11
163,antalaha,76,MG,1525180877,95,-14.9,50.28,77.68,14.45
164,batagay-alyta,88,RU,1525180877,84,67.8,130.41,30.16,8.97
165,sitka,36,US,1525180877,63,37.17,-99.65,69.49,21.61
166,lipari,0,IT,1525179300,56,38.47,14.95,73.4,11.41
167,vera cruz,0,BR,1525180878,57,-22.22,-49.82,79.75,4.61
168,faxinal,0,BR,1525180632,81,-24.0,-51.32,73.45,5.5
169,vao,48,EE,1525180878,99,59.1,26.19,57.79,7.52
170,waiuku,0,NZ,1525177800,82,-37.25,174.73,62.6,11.41
171,auray,40,FR,1525179600,58,47.67,-2.99,57.2,14.99
172,carutapera,80,BR,1525180879,98,-1.2,-46.02,79.48,4.61
173,golyshmanovo,0,RU,1525180879,57,56.4,68.37,47.8,4.38
174,port hardy,90,CA,1525176000,70,50.7,-127.42,46.4,4.7
175,carroll,56,AU,1525179600,58,-30.99,150.44,59.0,8.05
176,upernavik,8,GL,1525180898,100,72.79,-56.15,10.63,6.96
177,seoul,75,KR,1525179360,100,37.57,126.98,68.0,2.82
178,mashhad,40,IR,1525177800,34,36.3,59.61,66.2,9.17
179,kieta,44,PG,1525180880,100,-6.22,155.63,77.05,4.38
180,broken hill,92,AU,1525180881,60,-31.97,141.45,58.96,7.74
181,belaya gora,0,RU,1525180881,70,68.54,146.19,15.31,7.4
182,letlhakeng,0,BW,1525180881,45,-24.1,25.03,74.98,12.1
183,amazar,48,RU,1525180882,40,53.86,120.88,41.05,2.82
184,laguna,40,MX,1525179540,37,27.52,-110.01,68.0,6.93
185,ponta do sol,64,BR,1525180882,60,-20.63,-46.0,70.93,0.47
186,aasiaat,56,GL,1525180882,100,68.71,-52.87,23.41,8.3
187,gibraltar,75,ES,1525179600,48,36.15,-5.35,64.4,17.22
188,mecca,0,SA,1525176000,28,21.43,39.83,104.0,11.41
189,tual,8,ID,1525180883,98,-5.67,132.75,84.52,10.65
190,marsh harbour,68,BS,1525180847,100,26.54,-77.06,75.43,18.7
191,coihaique,75,CL,1525179600,80,-45.58,-72.07,41.0,3.36
192,puerto ayacucho,44,CO,1525180883,98,5.66,-67.63,73.9,3.15
193,san pablo,40,PH,1525176000,70,14.07,121.33,86.0,11.41
194,lima,20,PE,1525180784,74,-12.06,-77.04,59.86,1.36
195,guerrero negro,92,MX,1525180884,94,27.97,-114.04,56.71,9.42
196,tranas,76,SE,1525179000,76,58.04,14.98,55.4,13.87
197,santa cruz,90,US,1525179600,93,36.97,-122.03,51.8,3.36
198,freistadt,75,AT,1525179000,42,48.51,14.5,64.4,10.29
199,baras,40,PH,1525176000,70,14.52,121.27,86.0,11.41
200,kaeo,0,NZ,1525180886,92,-35.1,173.78,58.87,10.98
201,hualmay,36,PE,1525180886,96,-11.1,-77.61,63.73,3.49
202,cervo,0,BR,1525176000,82,-22.19,-46.24,66.2,2.26
203,sokolo,0,ML,1525180887,19,14.74,-6.12,100.63,13.56
204,adrar,40,DZ,1525179600,14,27.87,-0.29,84.2,11.41
205,yarim,92,YE,1525180887,54,14.3,44.38,67.51,2.82
206,oistins,40,BB,1525179600,74,13.07,-59.53,82.4,23.04
207,manokwari,8,ID,1525180888,99,-0.87,134.08,83.08,3.83
208,goderich,56,CA,1525180807,61,43.74,-81.71,46.9,12.44
209,harper,90,US,1525179060,83,30.3,-99.24,71.6,9.17
210,ballina,90,IE,1525179600,93,54.11,-9.15,48.2,13.87
211,hay river,75,CA,1525178700,100,60.82,-115.79,30.2,2.93
212,zarubino,100,RU,1525180889,94,42.65,131.06,45.46,4.72
213,coahuayana,24,MX,1525180889,78,18.62,-100.35,61.21,1.92
214,jacareacanga,75,BR,1525176000,100,-6.22,-57.76,77.0,2.93
215,kahului,75,US,1525179360,100,20.89,-156.47,64.4,4.16
216,lorengau,44,PG,1525180890,100,-2.02,147.27,80.65,3.71
217,jaciara,20,BR,1525180890,57,-15.95,-54.98,81.01,4.27
218,isangel,0,VU,1525180890,100,-19.55,169.27,76.24,16.46
219,qasigiannguit,75,GL,1525179000,68,68.82,-51.19,24.8,9.17
220,saint george,20,GR,1525179000,44,39.45,22.34,78.8,10.29
221,springfield,90,US,1525175520,63,37.22,-93.29,62.6,14.99
222,karatau,20,KZ,1525180891,64,43.18,70.46,56.71,5.84
223,namibe,0,AO,1525180891,96,-15.19,12.15,80.38,7.96
224,vung tau,40,VN,1525177800,79,10.35,107.08,86.0,10.29
225,kavieng,88,PG,1525180892,100,-2.57,150.8,80.92,3.94
226,oktyabrskoye,20,RU,1525180892,62,56.73,85.44,51.85,6.4
227,portland,90,US,1525179180,76,45.52,-122.67,51.8,5.82
228,presidencia roque saenz pena,12,AR,1525180892,93,-26.79,-60.44,75.88,4.61
229,mahajanga,20,MG,1525176000,49,-15.72,46.32,93.2,11.41
230,pacifica,90,US,1525179600,87,37.61,-122.49,51.8,3.36
231,singaparna,92,ID,1525180893,82,-7.35,108.11,71.47,2.26
232,laredo,90,US,1525178100,83,27.51,-99.51,75.2,12.75
233,whitehorse,90,CA,1525176000,60,60.72,-135.06,39.2,8.05
234,lincoln,75,GB,1525179000,50,53.23,-0.54,57.2,14.99
235,torbay,90,CA,1525179240,100,47.66,-52.73,37.4,13.87
236,airai,88,TL,1525180894,96,-8.93,125.41,69.58,1.7
237,key west,90,US,1525180500,100,47.93,-96.78,35.6,16.11
238,kulachi,36,PK,1525180894,22,31.93,70.46,96.13,7.52
239,terme,75,TR,1525179000,64,41.21,36.97,68.0,5.82
240,jian,92,IN,1525180895,95,25.65,87.89,71.11,13.0
241,severo-kurilsk,56,RU,1525180895,100,50.68,156.12,31.51,7.29
242,karratha,0,AU,1525180895,46,-20.74,116.85,78.76,8.41
243,tasiilaq,20,GL,1525179000,45,65.61,-37.64,26.6,3.36
244,greeneville,1,US,1525178100,53,36.16,-82.83,51.8,4.7
245,kvitok,56,RU,1525180896,47,56.08,98.48,65.08,4.61
246,cherskiy,64,RU,1525180896,79,68.75,161.3,14.23,3.04
247,sainte-anne-des-monts,88,CA,1525180896,100,49.13,-66.49,36.19,4.61
248,pusad,68,IN,1525180896,17,19.91,77.57,103.6,6.62
249,minden,90,US,1525179300,100,38.95,-119.77,44.6,5.28
250,bilibino,44,RU,1525180897,85,68.06,166.44,18.64,2.26
251,nelson bay,12,AU,1525179600,87,-32.72,152.14,57.2,3.15
252,hyeres,92,FR,1525179600,63,43.12,6.14,64.4,9.17
253,bahia blanca,24,AR,1525180763,100,-38.72,-62.27,47.89,10.98
254,samagaltay,44,RU,1525180898,20,50.6,95.0,66.79,6.29
255,shimoda,20,JP,1525180898,94,34.7,138.93,67.15,2.59
256,batticaloa,0,LK,1525180899,83,7.71,81.69,89.56,8.97
257,kirensk,20,RU,1525180899,42,57.78,108.12,51.31,8.3
258,pasir gudang,75,MY,1525179600,88,1.46,103.88,80.6,1.12
259,vila franca do campo,40,PT,1525179600,82,37.72,-25.43,60.8,12.75
260,umm lajj,64,SA,1525180899,48,25.02,37.27,90.91,9.31
261,bahia honda,20,CU,1525180900,81,22.9,-83.16,73.81,7.96
262,sehithwa,24,BW,1525180900,34,-20.47,22.7,82.81,9.75
263,nauta,100,PE,1525180900,97,-4.51,-73.58,75.25,4.16
264,mangochi,20,MW,1525180900,67,-14.48,35.26,79.3,7.07
265,chicama,90,PE,1525179600,88,-7.84,-79.15,66.2,8.05
266,tilichiki,88,RU,1525180901,90,60.47,166.1,28.81,1.59
267,chester,40,GB,1525179000,44,53.19,-2.89,57.2,16.11
268,mantua,40,IT,1525179300,37,45.16,10.79,68.0,4.7
269,itoman,40,JP,1525179360,88,26.12,127.67,77.0,10.29
270,dalmatovo,36,RU,1525180902,57,56.26,62.94,50.95,4.38
271,norrtalje,75,SE,1525179000,81,59.76,18.7,50.0,6.93
272,lavrentiya,88,RU,1525180902,100,65.58,-170.99,21.61,21.72
273,moron,75,VE,1525176000,88,10.49,-68.2,75.2,2.26
274,kalundborg,90,DK,1525179000,93,55.68,11.1,46.4,9.17
275,santa cruz de la palma,20,ES,1525179600,56,28.68,-17.76,71.6,11.41
276,havelock,1,US,1525179480,59,34.88,-76.9,64.4,10.29
277,camopi,92,GF,1525180903,97,3.17,-52.33,74.35,2.82
278,mandalgovi,32,MN,1525180904,62,45.76,106.27,46.63,9.53
279,ostrovnoy,36,RU,1525180904,97,68.05,39.51,32.77,7.96
280,goroka,48,PG,1525180904,99,-6.07,145.39,59.23,1.92
281,kalengwa,0,ZM,1525180904,46,-13.47,25.0,80.29,9.19
282,chaman,8,AF,1525180904,13,30.92,66.46,85.78,10.2
283,ileanda,20,RO,1525179600,26,47.33,23.62,84.2,6.93
284,rezh,88,RU,1525180905,48,57.37,61.4,49.96,3.83
285,chumikan,48,RU,1525180905,58,54.72,135.31,34.48,3.71
286,hami,0,CN,1525180906,19,42.84,93.51,76.33,2.71
287,kodiak,90,US,1525179180,77,39.95,-94.76,64.4,14.99
288,lloydminster,40,CA,1525176000,56,53.28,-110.01,32.0,6.93
289,cap malheureux,75,MU,1525176000,74,-19.98,57.61,78.8,11.41
290,banda aceh,56,ID,1525180906,89,5.56,95.32,79.3,2.15
291,salta,75,AR,1525179600,83,-24.79,-65.41,69.8,4.7
292,aleksandrov gay,8,RU,1525180907,39,50.14,48.57,79.12,16.8
293,klamath falls,1,US,1525175580,92,42.22,-121.78,28.4,5.82
294,pisco,8,PE,1525179600,82,-13.71,-76.2,66.2,16.11
295,pierre,90,US,1525175580,87,44.37,-100.35,42.8,11.41
296,klaksvik,92,FO,1525179000,87,62.23,-6.59,44.6,20.8
297,omsukchan,68,RU,1525180908,86,62.53,155.8,19.72,3.15
298,amapa,75,HN,1525179600,100,15.09,-87.97,77.0,1.59
299,beloha,0,MG,1525180908,39,-25.17,45.06,87.22,17.25
300,pacific grove,90,US,1525179300,76,36.62,-121.92,51.8,8.05
301,margate,0,AU,1525177800,62,-43.03,147.26,57.2,11.41
302,dembi dolo,36,ET,1525180909,72,8.53,34.8,80.65,3.49
303,byron bay,40,AU,1525179600,72,-28.65,153.62,66.2,5.82
304,qesarya,0,IL,1525179000,19,32.52,34.9,96.8,2.24
305,santa maria,90,BR,1525176000,100,-29.69,-53.81,68.0,6.93
306,constitucion,5,MX,1525178820,66,23.99,-104.67,51.8,4.7
307,jatiroto,0,ID,1525180910,85,-7.61,109.46,84.07,15.23
308,udachnyy,92,RU,1525180911,67,66.42,112.4,44.65,9.08
309,valreas,92,FR,1525179600,66,44.38,4.99,59.0,17.22
310,cairns,75,AU,1525179600,83,-16.92,145.77,71.6,11.41
311,bismarck,90,US,1525178100,100,46.81,-100.78,37.4,10.29
312,hofn,12,IS,1525180911,100,64.25,-15.21,39.07,14.67
313,sao joao da barra,0,BR,1525179600,58,-21.64,-41.05,82.4,6.93
314,tyup,68,KG,1525180912,57,42.73,78.36,52.39,2.59
315,saint-francois,40,FR,1525179600,54,46.42,3.91,53.6,2.24
316,thabazimbi,8,ZA,1525180912,39,-24.59,27.41,76.15,3.38
317,riberalta,75,BO,1525179600,88,-11.0,-66.08,78.8,6.93
318,te anau,56,NZ,1525180913,100,-45.41,167.72,39.97,2.04
319,east london,0,ZA,1525176000,57,-33.02,27.91,78.8,9.17
320,chizhou,92,CN,1525180913,98,30.67,117.49,67.6,2.71
321,noumea,0,NC,1525179600,88,-22.28,166.46,64.4,13.56
322,paris,0,FR,1525179600,47,48.86,2.35,55.4,8.05
323,yar-sale,32,RU,1525180914,91,66.83,70.83,27.28,15.01
324,ichhawar,40,IN,1525176000,10,23.03,77.02,107.6,19.46
325,mnogovershinnyy,0,RU,1525180914,74,53.94,139.92,26.02,2.59
326,rio branco,40,BR,1525179600,78,-9.98,-67.82,78.8,5.82
327,rosario,0,UY,1525180915,72,-34.31,-57.35,56.44,10.09
328,alta floresta,12,BR,1525180915,95,-9.87,-56.08,76.69,2.37
329,xining,36,CN,1525180915,39,36.62,101.77,47.53,3.04
330,wuhu,92,CN,1525180916,94,31.35,118.43,70.21,6.85
331,codrington,92,AU,1525180916,78,-28.95,153.24,62.83,3.71
332,mayo,90,CA,1525176000,69,63.59,-135.9,35.6,3.36
333,ocean city,1,US,1525179360,83,30.44,-86.61,73.4,4.7
334,tuatapere,88,NZ,1525180916,100,-46.13,167.69,47.89,9.19
335,ca mau,32,VN,1525180917,95,9.18,105.15,80.02,1.14
336,salihli,76,TR,1525180917,38,38.48,28.15,77.14,0.25
337,hobyo,48,SO,1525180917,100,5.35,48.53,83.08,9.31
338,bolgar,20,RU,1525176000,54,54.97,49.03,57.2,6.71
339,chuy,8,UY,1525180917,92,-33.69,-53.46,64.18,9.64
340,kachkanar,36,RU,1525180918,40,58.7,59.48,48.16,7.07
341,bonao,40,DO,1525179600,74,18.94,-70.41,80.6,13.87
342,avera,40,US,1525179300,76,33.19,-82.53,60.8,3.15
343,fernandez,64,PH,1525180918,96,11.38,122.76,81.01,8.08
344,vanimo,56,PG,1525180918,100,-2.67,141.3,83.62,3.6
345,limuru,75,KE,1525177800,77,-1.12,36.65,69.8,10.29
346,cayambe,68,EC,1525180919,93,0.04,-78.14,46.36,0.92
347,waipawa,0,NZ,1525180919,88,-39.94,176.59,50.41,6.51
348,biak,56,ID,1525180919,91,-0.91,122.88,79.75,4.61
349,mirnyy,8,RU,1525180919,54,56.57,36.46,76.51,12.33
350,havre-saint-pierre,90,CA,1525178220,100,50.23,-63.6,37.4,11.41
351,rio brilhante,0,BR,1525180920,64,-21.8,-54.54,80.38,4.61
352,dzaoudzi,75,YT,1525177800,70,-12.79,45.27,84.2,9.17
353,half moon bay,90,US,1525179600,87,37.46,-122.43,51.8,3.36
354,rio gallegos,0,AR,1525179600,79,-51.62,-69.22,28.4,4.7
355,bermeo,40,ES,1525179600,47,43.42,-2.72,59.0,5.82
356,shirokiy,0,RU,1525180921,65,53.87,39.17,73.72,14.23
357,omboue,56,GA,1525180921,100,-1.57,9.26,83.17,3.38
358,bainbridge,1,US,1525180500,72,30.9,-84.58,68.0,5.82
359,berlevag,0,NO,1525175400,64,70.86,29.09,37.4,9.17
360,port hawkesbury,90,CA,1525179420,100,45.62,-61.36,41.0,6.93
361,esil,92,KZ,1525180922,86,51.96,66.41,47.26,12.44
362,vostok,76,RU,1525180922,54,46.45,135.83,39.88,1.92
363,hasaki,0,JP,1525177800,93,35.73,140.83,62.6,3.36
364,sola,75,NO,1525179000,81,58.89,5.65,46.4,6.93
365,rorvik,40,NO,1525177200,49,64.86,11.24,46.4,20.8
366,bambous virieux,75,MU,1525176000,74,-20.34,57.76,78.8,11.41
367,ixtapa,5,MX,1525178640,88,20.71,-105.21,68.0,2.04
368,linxia,92,CN,1525180923,82,35.6,103.21,45.46,2.93
369,port blair,56,IN,1525180924,100,11.67,92.75,86.59,9.98
370,lakhnadon,12,IN,1525180924,29,22.6,79.61,92.62,7.4
371,alofi,20,NU,1525179600,94,-19.06,-169.92,77.0,5.82
372,show low,1,US,1525179300,38,34.25,-110.03,42.8,13.87
373,bethel,75,US,1525179180,92,60.79,-161.76,28.4,10.29
374,santa fe,92,AR,1525180705,98,-31.62,-60.7,62.65,14.9
375,ilulissat,75,GL,1525179000,68,69.22,-51.1,24.8,9.17
376,etaples,75,FR,1525179600,71,50.52,1.63,53.6,12.75
377,hamilton,20,BM,1525179300,55,32.3,-64.78,66.2,11.41
378,coro,75,VE,1525176000,69,11.41,-69.67,80.6,10.76
379,malibu,1,US,1525179360,67,33.61,-84.48,64.4,5.82
380,ukiah,1,US,1525179360,86,39.15,-123.21,41.0,2.04
381,sant pere de ribes,20,ES,1525179600,58,41.26,1.77,60.8,9.17
382,yulara,0,AU,1525179600,26,-25.24,130.99,60.8,4.7
383,buta,0,CD,1525180927,43,2.79,24.73,95.41,3.04
384,waingapu,0,ID,1525180927,72,-9.65,120.26,74.71,5.95
385,lam luk ka,40,TH,1525177800,94,13.93,100.75,80.6,8.05
386,nanyang,68,CN,1525180928,75,33.0,112.53,73.72,3.6
